"ID","Collection","ENS","Minting Date","Tx Count","Power"
"146","0xf6b6f07862a02c85628b3a9688beae07fea9c863","poap.eth","Mon, 27 May 2019 23:30:48 GMT","1","472"
"147","0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2","nanexcool.eth","Mon, 27 May 2019 23:30:48 GMT","1","220"
"148","0xa00567bd0463172dc344cb666d7fc0a71bc29742","","Mon, 27 May 2019 23:30:48 GMT","1","5"
"149","0x68f9d801c96ac6ccf562f3600cef77c4504449b6","brukhman.eth","Mon, 27 May 2019 23:30:48 GMT","1","22"
"150","0x96d4f0e75ae86e4c46cd8e9d4ae2f2309bd6ec45","","Mon, 27 May 2019 23:30:48 GMT","1","22"
"151","0x080c006c972121f46b7ef5c00b27d1b2500c90d8","","Mon, 27 May 2019 23:30:48 GMT","1","4"
"152","0x5585579b5f7bd0a67edd3b86510defa844a9af58","","Mon, 27 May 2019 23:30:48 GMT","1","5"
"153","0x423cfaa3ab7b9f63743a23fc3b77e2a951385fe4","","Mon, 27 May 2019 23:30:48 GMT","2","12"
"154","0x399e0ae23663f27181ebb4e66ec504b3aab25541","superphiz.eth","Mon, 27 May 2019 23:30:48 GMT","3","426"
"155","0x5a384227b65fa093dec03ec34e111db80a040615","matoken.eth","Mon, 27 May 2019 23:30:48 GMT","1","77"
"157","0x9a5e4d421d72bc1835e6a7b9658ca1924d12d0e0","","Mon, 27 May 2019 23:32:08 GMT","1","26"
"158","0x4e76245544a8e40501eaf0eba307249ab80bbbe4","gomox.eth","Mon, 27 May 2019 23:32:08 GMT","1","15"
"159","0x3203b7a45b2af35c6bee7871a39f54d0dfdf777e","","Mon, 27 May 2019 23:32:08 GMT","1","7"
"160","0x3bdcd88a9639f85818ed5a35e2abf6292d9b0377","jeffc.eth","Mon, 27 May 2019 23:32:08 GMT","2","15"
"161","0x8c3b776bdac9a7a4facc3cc20cdb40832bff9005","","Mon, 27 May 2019 23:32:08 GMT","2","60"
"162","0x4a8f6434499f8c9371a98db9824b4b8ae2ba9fe2","wallet.alexfisher.eth","Mon, 27 May 2019 23:32:08 GMT","1","52"
"163","0xb887831d40ed7d9a22eb678d81aea7afc0a12c6c","","Mon, 27 May 2019 23:32:08 GMT","1","1"
"164","0xae7f5df4d8f8410e182e6822ea748b0e95995c4e","","Mon, 27 May 2019 23:32:08 GMT","1","6"
"165","0x8cb85b3fae649b1ce508dcd31dcb0b9023a1fb2d","","Mon, 27 May 2019 23:32:08 GMT","1","12"
"166","0xc97d2aa3e43d4e3eeff1fad699b7828a5cb94119","","Mon, 27 May 2019 23:32:08 GMT","1","3"
"168","0x000001f568875f378bf6d170b790967fe429c81a","tradingdesk.jpmyorgan.eth","Mon, 27 May 2019 23:34:27 GMT","1","23"
"169","0xd18a54f89603fe4301b29ef6a8ab11b9ba24f139","","Mon, 27 May 2019 23:34:27 GMT","1","17"
"170","0x22d88cf1bcc9a9b7783c924ed24925602097e821","","Mon, 27 May 2019 23:34:27 GMT","1","6"
"171","0x0de3d7ef08cabadcc73a5ca0385aa7036f92ce24","","Mon, 27 May 2019 23:34:27 GMT","1","4"
